ガチャモード	排出タイプ	排出内容	確率
武将星3〜4確定	武運	司馬錯 x2	1.50%
武将星3〜4確定	武運	司馬錯 x3	0.75%
武将星3〜4確定	武運	白起 x1	12.75%
武将星3〜4確定	武運	白起 x2	1.50%
武将星3〜4確定	武運	白起 x3	0.75%
武将星3〜4確定	武運	昭王 x1	21.25%
武将星3〜4確定	武運	昭王 x2	2.50%
武将星3〜4確定	武運	昭王 x3	1.25%
武将星3〜4確定	アイテム	龍紋鏡	96.00%
武将星3〜4確定	アイテム	玉虎	0.80%
武将星3〜4確定	アイテム	玉亀	0.80%
武将星3〜4確定	アイテム	玉牛	0.80%
武将星3〜4確定	アイテム	玉象	0.80%
武将星3〜4確定	アイテム	玉羊	0.80%
武将星4確定	武将	UR王齕 星4	20%
武将星4確定	武将	UR摎 星4	20%
武将星4確定	武将	UR胡傷 星4	20%
武将星4確定	武将	UR司馬錯 星4	20%
武将星4確定	武将	UR白起 星4	20%
武将星4確定	武運	王齕 x1	12.75%
武将星4確定	武運	王齕 x2	1.50%
武将星4確定	武運	王齕 x3	0.75%
武将星4確定	武運	摎 x1	12.75%
武将星4確定	武運	摎 x2	1.50%
武将星4確定	武運	摎 x3	0.75%
武将星4確定	武運	胡傷 x1	12.75%
武将星4確定	武運	胡傷 x2	1.50%
武将星4確定	武運	胡傷 x3	0.75%
武将星4確定	武運	司馬錯 x1	12.75%
武将星4確定	武運	司馬錯 x2	1.50%
武将星4確定	武運	司馬錯 x3	0.75%
武将星4確定	武運	白起 x1	12.75%
武将星4確定	武運	白起 x2	1.50%
武将星4確定	武運	白起 x3	0.75%
武将星4確定	武運	昭王 x1	21.25%
武将星4確定	武運	昭王 x2	2.50%
武将星4確定	武運	昭王 x3	1.25%
武将星4確定	アイテム	龍紋鏡	96.00%
武将星4確定	アイテム	玉虎	0.80%
武将星4確定	アイテム	玉亀	0.80%
武将星4確定	アイテム	玉牛	0.80%
武将星4確定	アイテム	玉象	0.80%
武将星4確定	アイテム	玉羊	0.80%
武将星5確定	武将	UR王齕 星5	20%
武将星5確定	武将	UR摎 星5	20%
武将星5確定	武将	UR胡傷 星5	20%
武将星5確定	武将	UR司馬錯 星5	20%
武将星5確定	武将	UR白起 星5	20%
武将星5確定	武運	王齕 x1	12.75%
武将星5確定	武運	王齕 x2	1.50%
武将星5確定	武運	王齕 x3	0.75%
武将星5確定	武運	摎 x1	12.75%
武将星5確定	武運	摎 x2	1.50%
武将星5確定	武運	摎 x3	0.75%
武将星5確定	武運	胡傷 x1	12.75%
武将星5確定	武運	胡傷 x2	1.50%
武将星5確定	武運	胡傷 x3	0.75%
武将星5確定	武運	司馬錯 x1	12.75%
武将星5確定	武運	司馬錯 x2	1.50%
武将星5確定	武運	司馬錯 x3	0.75%
武将星5確定	武運	白起 x1	12.75%
武将星5確定	武運	白起 x2	1.50%
武将星5確定	武運	白起 x3	0.75%
武将星5確定	武運	昭王 x1	21.25%
武将星5確定	武運	昭王 x2	2.50%
武将星5確定	武運	昭王 x3	1.25%
武将星5確定	アイテム	龍紋鏡	96.00%
武将星5確定	アイテム	玉虎	0.80%
武将星5確定	アイテム	玉亀	0.80%
武将星5確定	アイテム	玉牛	0.80%
武将星5確定	アイテム	玉象	0.80%
武将星5確定	アイテム	玉羊	0.80%
宝箱星6箱確定	宝箱	星6箱	100%
宝箱星6箱確定	武運	王齕 x1	12.75%
宝箱星6箱確定	武運	王齕 x2	1.50%
宝箱星6箱確定	武運	王齕 x3	0.75%
宝箱星6箱確定	武運	摎 x1	12.75%
宝箱星6箱確定	武運	摎 x2	1.50%
宝箱星6箱確定	武運	摎 x3	0.75%
宝箱星6箱確定	武運	胡傷 x1	12.75%
宝箱星6箱確定	武運	胡傷 x2	1.50%
宝箱星6箱確定	武運	胡傷 x3	0.75%
宝箱星6箱確定	武運	司馬錯 x1	12.75%
宝箱星6箱確定	武運	司馬錯 x2	1.50%
宝箱星6箱確定	武運	司馬錯 x3	0.75%
宝箱星6箱確定	武運	白起 x1	12.75%
宝箱星6箱確定	武運	白起 x2	1.50%
宝箱星6箱確定	武運	白起 x3	0.75%
宝箱星6箱確定	武運	昭王 x1	21.25%
宝箱星6箱確定	武運	昭王 x2	2.50%
宝箱星6箱確定	武運	昭王 x3	1.25%
宝箱星6箱確定	アイテム	龍紋鏡	96.00%
宝箱星6箱確定	アイテム	玉虎	0.80%
宝箱星6箱確定	アイテム	玉亀	0.80%
宝箱星6箱確定	アイテム	玉牛	0.80%
宝箱星6箱確定	アイテム	玉象	0.80%
宝箱星6箱確定	アイテム	玉羊	0.80%
