ガチャモード	排出タイプ	排出内容	確率
宝箱星4箱確定	武運	友里 x2	1.67%
宝箱星4箱確定	武運	友里 x3	0.83%
宝箱星4箱確定	武運	太后 x1	14.17%
宝箱星4箱確定	武運	太后 x2	1.67%
宝箱星4箱確定	武運	太后 x3	0.83%
宝箱星4箱確定	武運	向 x1	14.17%
宝箱星4箱確定	武運	向 x2	1.67%
宝箱星4箱確定	武運	向 x3	0.83%
宝箱星4箱確定	武運	王建王 x1	14.17%
宝箱星4箱確定	武運	王建王 x2	1.67%
宝箱星4箱確定	武運	王建王 x3	0.83%
宝箱星4箱確定	武運	燕呈 x1	14.17%
宝箱星4箱確定	武運	燕呈 x2	1.67%
宝箱星4箱確定	武運	燕呈 x3	0.83%
宝箱星4箱確定	武運	姜燕 x1	14.17%
宝箱星4箱確定	武運	姜燕 x2	1.67%
宝箱星4箱確定	武運	姜燕 x3	0.83%
宝箱星5箱確定	宝箱	星5箱	100.00%
宝箱星5箱確定	武運	友里 x1	14.17%
宝箱星5箱確定	武運	友里 x2	1.67%
宝箱星5箱確定	武運	友里 x3	0.83%
宝箱星5箱確定	武運	太后 x1	14.17%
宝箱星5箱確定	武運	太后 x2	1.67%
宝箱星5箱確定	武運	太后 x3	0.83%
宝箱星5箱確定	武運	向 x1	14.17%
宝箱星5箱確定	武運	向 x2	1.67%
宝箱星5箱確定	武運	向 x3	0.83%
宝箱星5箱確定	武運	王建王 x1	14.17%
宝箱星5箱確定	武運	王建王 x2	1.67%
宝箱星5箱確定	武運	王建王 x3	0.83%
宝箱星5箱確定	武運	燕呈 x1	14.17%
宝箱星5箱確定	武運	燕呈 x2	1.67%
宝箱星5箱確定	武運	燕呈 x3	0.83%
宝箱星5箱確定	武運	姜燕 x1	14.17%
宝箱星5箱確定	武運	姜燕 x2	1.67%
宝箱星5箱確定	武運	姜燕 x3	0.83%
